"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.231445","X0.0712891","X1.00635","X.9.625","X.0.0625","X.1.25","X91","X103","X99","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.136719","X.0.0244141","X1.0332","X.0.875","X2.0625","X.0.125","X89","X97","X98"
"53",0,0,0,0,0,0,0,0,-0.266602,0.0649414,0.943359,-11.75,-1.8125,-1.9375,91,104,100,0,0,0,0,0,0,0,0,-0.17627,-0.192383,1.11768,-13.9375,24.25,17.3125,89,98,98
"54",4,-4,-10,-2,-2,-1,-1,-5,-0.214355,0.0458984,0.994141,-3,-6.25,-2.875,91,104,100,2,7,-9,-17,24,9,-1,1,-0.688965,-0.0629883,0.887207,10.625,20.125,30.1875,89,101,99
"55",1,-5,1,-1,-1,3,-7,-8,-0.258789,0.0214844,0.991699,-3.875,-3.8125,-3.125,90,103,100,6,10,16,17,-17,-5,-7,-2,-0.682617,0.0390625,1.05518,-42.375,-7.6875,105.5,89,103,101
"56",2,9,23,3,0,15,10,3,-0.251953,0.0224609,0.995117,-4.0625,-1.4375,-0.625,90,103,100,-4,8,8,50,0,4,3,-2,-0.455078,0.102539,1.15234,-20.375,-20.6875,138.562,89,103,104
"57",-8,-28,-5,0,-2,-21,-19,-7,-0.255859,0.0219727,0.98584,-1.3125,-1,-0.1875,90,103,100,-16,-26,-44,-41,-17,-16,-5,-1,0.115723,0.183105,1.11279,25.125,-26.125,125.938,90,101,108
"58",7,8,-3,0,1,-18,-20,1,-0.257812,0.0239258,1,-0.4375,0.8125,2.125,90,103,100,-25,-32,-66,-105,-28,5,-4,-14,0.223145,0.116211,1.02979,16.8125,-33.3125,98.125,91,99,110
"59",11,-2,4,-2,-1,8,13,6,-0.250977,0.027832,1,2.625,2,3.4375,90,103,100,-13,-65,-8,-27,15,6,-6,-6,0.30957,0.0820312,0.838867,54.6875,-41.9375,97.6875,93,96,113
"60",-20,-5,0,1,-2,3,-14,-2,-0.23584,0.050293,0.975098,4.125,2.9375,3.4375,90,104,100,1,56,127,126,30,11,0,10,0.427246,-0.0258789,0.812988,37,-52.6875,119.438,94,91,116
"61",1,-2,-12,-3,-3,7,13,-10,-0.249512,0.0625,0.987793,6.9375,2.75,2.4375,91,104,100,10,-25,13,-40,-5,8,-3,-26,0.293945,-0.0537109,0.873535,67.4375,-31.5,106.562,95,89,118
"62",-12,-17,-4,-1,-3,0,18,4,-0.255859,0.046875,0.986816,5.375,3.875,1.0625,91,104,100,17,5,19,-20,12,22,1,-7,0.0776367,0.0727539,1.00781,40.375,-19.8125,89,96,86,121
"63",2,-7,-5,-3,0,8,-4,1,-0.260742,0.0380859,0.963867,-2.125,3.9375,2.125,91,104,100,-4,-29,-4,-30,-8,-8,-6,-38,-0.0854492,0.17334,1.04004,19.4375,-4.3125,110.312,96,85,123
"64",0,-7,-9,-2,0,-2,6,-6,-0.271973,0.0600586,0.93457,-8.3125,0.5625,-0.125,91,104,100,-10,11,1,-7,-1,7,3,6,-0.413086,0.337402,1.00781,9.4375,68.125,44.8125,96,87,125
"65",11,-9,-16,-1,2,13,-11,6,-0.239258,0.0830078,0.950684,-2.4375,-2.6875,-3.5,91,104,100,-27,15,-43,-80,-25,0,-4,-10,-0.476074,0.260254,1.05029,-10.375,91.125,-8.9375,96,92,126
"66",-1,-4,-6,-1,0,-4,9,5,-0.223633,0.0175781,1.05029,3,-1.3125,-3.5,91,104,100,-2,90,40,-2,0,-7,-15,-64,-0.621582,0.285645,1.08154,34.1875,80.75,-71.8125,97,99,125
"67",-9,7,-9,1,0,-5,-3,-5,-0.263184,0,0.975098,-4.5,1.6875,-1.6875,91,104,100,12,-36,35,79,3,-10,-15,-44,-0.381348,0.350098,1.11279,9.6875,42.4375,-119.812,97,103,123
"68",1,-16,-2,0,-1,-4,-6,-1,-0.246094,0.0317383,0.961426,6.9375,-0.6875,0.75,91,104,100,-31,-78,10,-101,19,18,23,21,-0.158203,0.354492,1.09473,5.0625,0.375,-149.688,96,106,119
"69",-5,-8,-4,1,3,6,-15,-4,-0.279785,0.0556641,0.984863,-3.125,-0.9375,2.375,91,104,100,54,71,37,102,38,-1,2,25,0.0571289,0.294922,1.05273,-12,-41.25,-130.75,95,105,116
"70",5,9,0,-2,-3,3,12,16,-0.267578,0.0600586,0.986328,0.125,0.0625,4.375,91,104,100,-64,-96,-105,-45,-28,-11,0,5,0.468262,0.178223,0.865723,-41.75,-101.125,-55.3125,93,100,113
"71",-27,-22,-10,-6,-4,-7,27,-8,-0.239746,0.0585938,0.998535,7.125,0.25,3.6875,91,104,100,8,3,10,-3,-3,1,-5,7,0.607422,0.123047,0.729492,-9.4375,-106.25,36,93,95,113
"72",3,5,-7,-2,0,7,15,-3,-0.248535,0.0512695,1.00293,13.1875,1.375,3.125,91,104,100,-2,19,-45,-21,-18,-12,-2,4,0.454102,0.103516,0.713379,43.3125,-65.375,123.688,94,88,115
"73",9,13,20,1,1,4,-17,-4,-0.242676,0.0751953,0.958008,1.4375,3.875,0.6875,91,104,100,13,27,-28,-15,-9,-4,1,48,-0.0131836,0.230469,0.942383,75.875,19.0625,148.438,96,86,120
"74",8,-9,9,2,-1,1,-2,8,-0.245605,0.114258,0.942871,-7.25,1,-4.4375,91,104,100,-10,-18,-5,-11,-4,1,-6,-18,-0.307129,0.41748,1.11035,64.5625,62,116.688,97,87,122
"75",17,3,-6,-4,-3,-15,2,11,-0.260254,0.0561523,0.952637,-4.125,-4.8125,-3.9375,91,104,100,10,26,6,7,2,1,-8,-14,-0.687988,0.405762,1.11182,20.6875,85.625,26.625,98,93,125
"76",-11,-10,-14,-6,-2,6,-18,2,-0.26123,0.00732422,1.00488,1.75,-6.125,-2.6875,91,104,100,-4,33,-14,-11,-2,5,3,-1,-0.687012,0.35498,1.06689,8.8125,118.438,-36.9375,98,98,125
"77",-3,-14,2,-1,-1,-6,-2,3,-0.257812,0.0463867,0.999512,-7.0625,-2.125,-2.6875,91,104,100,61,43,-42,-62,-30,-13,2,-26,-0.46582,0.455078,1.1748,18.1875,46.6875,-96.8125,99,105,123
"78",0,-11,-12,-3,-2,-3,4,-2,-0.237793,0.0239258,0.996094,-3.625,-0.875,0.875,91,104,100,-9,-83,-21,24,-11,0,0,15,-0.311523,0.3125,1.13574,-0.75,11.875,-133.25,98,107,121
"79",-4,0,-8,-5,-2,1,0,-2,-0.251465,0.0615234,0.96875,0.0625,-0.8125,1.3125,91,104,100,43,-15,78,40,27,8,-1,-34,-0.118164,0.38623,1.05078,-25.75,-38.625,-142,96,108,117
"80",-15,-31,-17,0,0,-14,-2,-9,-0.261719,0.0229492,1.00684,-1.625,-0.875,2.5625,91,104,100,-18,79,57,98,34,-3,-5,19,0.168945,0.310547,0.973145,-30.5,-74.5625,-87.0625,95,105,113
"81",5,5,4,1,2,1,1,-4,-0.27002,0.0639648,0.998047,0.875,0.8125,4,91,104,100,15,-10,-72,-47,1,17,8,11,0.385742,0.150879,0.834961,-41.1875,-94.75,-34.9375,93,100,112
"82",14,9,28,4,1,-2,17,6,-0.245605,0.0664062,0.979004,5.9375,1.5,3.125,91,104,100,-31,-62,-105,-50,-42,25,-1,3,0.490234,0.138184,0.745605,2.375,-84.125,61.4375,93,92,112
"83",4,10,-5,0,1,0,-3,1,-0.25293,0.0527344,1.00098,9.6875,3.5625,2,91,104,100,19,-30,-18,-3,-2,-16,-3,-19,0.401367,0.160156,0.768555,35.25,-63.5,107,94,88,114
"84",6,-3,-12,-5,-1,6,7,-2,-0.251465,0.0683594,0.959473,1.375,4.25,0.9375,91,104,100,-23,-25,3,7,2,-19,0,-2,0.126953,0.240234,0.921387,70.0625,-7.1875,154.938,95,85,118
