"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.379883","X0.0136719","X0.785645","X.10.5625","X.3.625","X.7.4375","X88","X101","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.272461","X.0.074707","X1.0752","X.1.125","X.4.25","X.2.625","X86","X100","X80"
"33",4,1,4,-6,-1,-14,9,10,0.298828,-1.31787,0.463867,-87.875,25,15.9375,75,76,67,3,0,3,13,10,-44,0,-11,0.363281,0.277832,0.757812,61.625,108.25,-101.312,99,66,97
"34",-2,3,-1,1,4,24,3,-22,0.354492,-0.295898,0.880371,10.25,4.75,23.5625,75,76,67,8,11,9,7,30,92,10,0,-0.646973,1.38574,1.32178,-51.9375,43.9375,-161.312,100,75,94
"35",3,5,7,-3,-4,-6,4,-2,0.205078,-0.49707,0.914062,-19.625,-2.0625,8.8125,75,76,67,24,16,-1,-4,-7,18,-13,-10,0.791016,-0.0219727,1.18506,49.875,-51.1875,-55.25,100,74,93
"36",0,0,-16,6,3,8,-1,1,0.335449,-0.321777,0.902832,23.625,-9,18.125,75,76,68,-7,-3,1,-10,65,46,7,-3,-0.00488281,0.65332,1.00293,-19.25,39.375,12.4375,101,75,94
"37",-6,-5,-1,-7,-5,-1,-4,-2,0.333496,-0.498535,0.999023,52.625,-18.8125,43,76,76,69,0,-17,1,4,-9,-12,-3,-27,0.495605,0.384277,0.902344,11.6875,7.875,0.4375,100,75,94
"38",-2,1,-1,-2,0,-1,-2,0,0.341797,-0.379883,1.00977,67.25,-19.6875,48.5625,77,76,70,-3,2,1,-1,-14,-11,0,0,0.356445,0.348145,0.913574,-11.8125,4.9375,-0.5,100,75,94
"39",-11,-1,5,-12,-6,-3,-2,-1,0.349121,-0.402832,1.03174,81.4375,14.1875,53.6875,79,77,71,-2,0,-3,-3,-4,-19,-1,-1,0.372559,0.237305,0.91748,-24.75,4.3125,-11.8125,100,75,93
"40",1,-13,-3,4,2,-2,-1,-5,0.208496,-0.298828,0.897949,138.25,75.25,47.625,83,80,72,-2,-4,-2,-2,-3,11,-6,-4,0.262207,0.289551,0.977051,-34.3125,-5.5625,-51.9375,99,76,92
"41",-4,-12,-25,-2,3,2,-2,-3,0.10498,-0.289551,0.851562,147.125,111.812,64.25,85,85,73,-2,-2,-5,-5,-5,22,2,2,0.34082,0.244141,0.995117,-91.75,12.75,-95.25,97,77,90
"42",-6,-75,-22,-6,-2,-3,0,-2,-0.454102,-0.0366211,0.728516,98,117.75,59.875,89,93,75,0,-2,1,0,-3,-7,1,0,0.193848,0.228516,0.969238,-91.25,39,-98.5,96,79,88
"43",28,33,3,2,2,2,-2,-1,-0.502441,0.0385742,0.498535,5.0625,95.875,24.875,90,98,75,3,-2,-1,0,-9,-3,2,1,0.248047,0.214844,0.98291,-85.625,67.6875,-96.875,94,82,86
"44",60,20,-5,3,6,1,11,-1,-0.442871,-0.308594,0.938965,-6.375,68.5625,-10.625,89,103,75,-2,-1,2,3,4,-2,1,-2,-0.121094,0.199219,0.888672,-104.25,92.125,-87.0625,92,88,84
"45",6,3,1,0,1,-1,-2,15,-0.059082,-0.148926,1.18164,39.8125,65.5625,-7.1875,89,105,75,-2,-3,3,5,-1,-21,-5,-8,-0.268555,0.0913086,0.810547,-53.625,98.125,-66.25,90,95,82
"46",-11,0,-6,-3,-6,-6,-12,-19,-0.362305,0.196289,1.10645,14.4375,35.9375,8.25,91,108,75,-3,3,2,2,28,34,-34,-8,-0.280273,0.0444336,0.763672,-20.0625,105.5,-28.5625,89,99,81
"47",-10,-1,-2,-2,-3,-5,-7,-13,-0.507324,0.046875,0.999512,-36.1875,14.875,-6.75,90,109,75,15,2,2,0,4,9,2,4,-0.543945,0.35791,1.04785,-86.1875,80.8125,6.125,88,105,81
"48",-14,-4,-2,-3,-4,-3,-2,-7,-0.425781,0.0649414,0.913574,-21.625,-0.3125,6.6875,90,110,75,8,3,-2,-4,1,-6,17,13,-0.189453,-0.168945,1.14404,-46.75,40.4375,24,87,107,81
"49",16,-4,-2,-1,-2,-2,-5,25,-0.373047,0.0219727,0.985352,-10.125,-0.9375,4.5,89,110,75,-21,-1,-2,-6,-4,-4,-9,-43,-0.335938,-0.0131836,1.07715,9.625,12.5625,-4.3125,87,108,81
"50",-13,1,0,-1,-2,-3,-14,-2,-0.335938,0.0141602,1.01123,3.3125,-1.5625,-0.8125,89,110,75,2,6,4,4,4,4,10,31,-0.437012,-0.0703125,1.06348,27.1875,-0.5625,-5,87,108,81
