"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.193359","X0.164062","X0.889648","X.75.75","X.4.1875","X.17.25","X92","X99","X76","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.291992","X.0.106934","X0.881348","X9.9375","X1.625","X.13.75","X84","X99","X82"
"37",-8,-8,-19,-6,-3,1,1,-11,-0.201172,0.0932617,1.04199,-27.5625,39.4375,22.9375,92,97,77,-3,-9,-7,35,83,4,-5,-3,0.244141,-0.0732422,1.01221,-73.5,167.062,-5.625,90,74,84
"38",-4,9,14,-3,-5,-6,7,-12,-0.378418,-0.128906,1.3374,-8.3125,-7.3125,19.5,91,98,77,1,-2,3,8,18,11,2,3,0.0585938,-0.0776367,1.02588,-63.5625,161,1.9375,89,78,84
"39",-2,13,34,2,-3,-3,-25,-15,-0.0976562,-0.0717773,0.969727,-54.0625,9.9375,11.625,90,98,77,0,1,0,2,-27,-22,6,1,0.0390625,-0.117188,1.09521,-54.1875,107.5,5.6875,88,85,84
"40",-9,-9,-5,2,0,-2,-4,-10,-0.108398,-0.0249023,1.09473,22.875,9.8125,1.3125,90,98,78,-4,-10,-8,-4,13,25,1,-2,-0.0605469,-0.106445,1.09229,-0.9375,75,-17.1875,87,90,84
"41",-1,-11,-13,4,0,-6,-11,-11,-0.123047,0.0375977,1.00928,-1.3125,13.25,4.6875,90,98,78,0,-4,1,-5,-19,6,-1,-1,-0.163086,-0.129883,1.07373,-4.1875,46.4375,-14.125,87,94,83
"42",0,-2,0,-5,-4,-4,1,1,-0.199707,0.0864258,0.934082,-3.625,6.3125,3.8125,90,99,78,4,2,4,11,52,28,9,4,-0.120605,-0.0913086,1.03271,8.125,36.375,-13.6875,87,95,83
"43",-1,-4,0,-1,-2,0,11,20,-0.157715,-0.0146484,0.975586,-11,0.6875,5.3125,90,99,78,-1,-3,-5,-6,-36,10,4,1,-0.208984,-0.0849609,1.13428,-13.125,28.8125,-15.25,87,97,83
"44",2,9,2,1,0,-6,2,-6,-0.130371,0.0429688,0.992676,0.375,-1.5,4.25,90,99,78,0,-1,0,1,58,-14,-6,-1,-0.00195312,-0.140625,0.979004,-1.4375,2.75,2.875,87,97,82
"45",-19,-7,3,4,-1,-12,-15,-13,-0.147949,0.0356445,0.998047,-10,-4.75,2.25,90,99,78,-4,-1,-1,-1,20,1,3,-2,-0.120605,0.0825195,1.01318,15.875,8.6875,-11.125,88,98,82
"46",5,0,-3,-1,-1,-1,7,17,-0.121094,-0.0234375,1.05078,-2.375,-4.4375,3.375,90,98,78,-2,-1,-16,-10,43,6,-6,-2,-0.17041,-0.116211,1.03369,-6.5,7.3125,-10.3125,88,98,82
"47",-5,3,3,0,0,2,-1,-1,-0.129395,0.015625,1.0166,-4.4375,-1.6875,3.0625,90,98,78,0,-2,-7,-2,-10,-13,3,-4,-0.167969,-0.0703125,1.01855,18.0625,5.5,-3.125,88,98,82
"48",1,0,-2,-3,-1,10,-1,-7,-0.130371,-0.00341797,1.02344,-6.75,-1.875,-0.125,90,98,78,-2,-2,1,1,-7,3,3,0,-0.168457,-0.111328,1.01074,-7.125,3.3125,-5,88,98,82
"49",19,14,3,2,1,-1,-2,-8,-0.139648,-0.00195312,1.01709,2.375,-1,0.625,90,98,78,-1,-2,0,-1,-3,4,1,-1,-0.146973,-0.0776367,0.98291,-0.0625,-0.1875,-0.6875,88,98,82
"50",-9,-7,-3,-2,-1,-1,-2,-10,-0.125488,-0.0078125,1.01514,-6.0625,-1.125,-1.125,89,98,78,-2,1,0,0,-3,1,4,0,-0.132324,-0.0444336,1.00781,-10,-1.1875,0,87,98,82
