"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.30957","X.0.666504","X1.1709","X6","X.170.062","X.98.625","X86","X94","X63","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.27002","X.0.248047","X1","X.6.5","X.2.3125","X.1.4375","X83","X104","X84"
"31",11,-6,-36,-4,-4,-5,9,7,0.42627,0.381836,0.777832,-9.8125,134.25,-111.312,94,65,55,-6,-12,1,1,6,-4,-10,5,0.507812,0.40918,0.760254,25.6875,30.5,58.1875,97,62,71
"32",-7,2,-20,0,-6,-7,-4,-8,0.218262,0.34375,1.03613,16.75,164.875,-17.8125,95,74,54,2,-1,5,3,3,14,-2,6,0.516113,0.477051,0.760254,41.875,33.1875,78,97,63,73
"33",-6,-12,-9,-5,5,1,-2,-8,-0.0410156,0.480957,0.943848,35.125,151.438,22.875,95,81,55,0,5,4,1,1,-1,-11,-1,0.536621,0.306641,0.794434,24.875,62.75,131.938,97,63,75
"34",-4,12,12,-3,4,2,-2,-8,-0.0766602,0.388672,1.0625,-23.5,125.562,46.6875,95,88,57,-1,-4,-3,-5,-14,-13,3,2,0.535156,0.230957,0.842773,-2.375,107.438,167,95,67,81
"35",-10,-3,10,6,6,5,1,-9,-0.255859,0.195801,0.933105,-16.3125,113.25,78.875,95,92,59,-1,2,-1,-1,-14,-15,-3,5,0.51123,-0.00146484,1.00635,-41.25,116.188,109.812,92,72,86
"36",-3,-11,3,1,-3,-1,-5,-3,-0.284668,0.0756836,1.0293,-25.0625,108.125,57.5,94,98,61,0,-9,-5,-9,-15,-12,1,6,0.194336,-0.065918,1.01953,-39,104.688,47.8125,91,76,88
"37",-5,8,7,-3,6,4,-2,-6,-0.236328,0.0581055,0.928711,4,94.125,44.8125,95,103,63,0,-2,-6,-6,-2,-21,-9,-1,-0.0517578,-0.0859375,1.05225,-6.75,112.125,-6.0625,90,83,88
"38",-1,-11,-6,-7,0,-4,-4,-8,-0.578125,-0.0356445,0.875977,1.6875,77.75,41.5,95,107,64,-3,-1,-2,-7,-6,10,23,5,-0.236328,-0.0957031,1.00439,-34.0625,99.0625,-26.875,89,88,87
"39",10,12,4,3,2,1,-2,-5,-0.449707,0.0966797,0.831055,-17.25,35.125,22.9375,95,110,65,-6,-5,-4,-5,-13,-2,-24,-6,-0.379395,0.0957031,0.966309,13.875,82.6875,-32.8125,89,94,87
"40",-5,-5,2,3,1,-2,4,0,-0.520508,-0.0527344,1.09814,-45.0625,-1.1875,12.4375,94,111,66,1,6,-2,-4,39,32,107,31,-0.211914,0.0317383,0.98584,-10.875,64.25,-22.375,89,97,86
"41",3,4,2,1,-1,2,-4,-3,-0.380371,0.195801,1.13818,-58.25,-9.9375,-0.8125,92,110,65,0,0,1,-6,-6,-23,-12,-1,-0.262207,0.180664,1.02295,2.5,61.625,-19.0625,89,101,85
"42",-4,4,1,1,3,0,6,-5,-0.365723,0.134277,1.00195,-3.4375,-1.875,7.875,92,109,66,1,7,1,2,-1,3,12,0,-0.347168,0.0136719,0.94873,-25.875,51.9375,-12.9375,89,104,85
"43",-2,-7,-2,-1,-2,-1,-5,1,-0.322266,0.177246,0.939941,18.4375,5,6.875,92,109,66,-2,-3,-2,-1,3,-3,-10,-6,-0.43457,0.0668945,0.85791,-7.375,5.5,-1.8125,89,106,85
"44",8,15,3,-2,0,-12,-1,-9,-0.286621,0.125977,0.98291,22.6875,6.125,3.9375,93,109,66,0,-5,1,2,12,15,-1,3,-0.344238,0.0908203,1.11328,-11,-10.5625,2.1875,89,106,85
"45",-2,-8,-4,-2,-3,-22,-2,4,-0.327637,0.101074,0.938477,5.6875,1.8125,3.8125,93,109,66,-2,-3,-2,-2,13,19,26,-16,-0.263184,0.000488281,1.08154,-30.8125,4.1875,7.0625,88,106,85
"46",0,0,0,-2,0,15,0,-3,-0.328613,0.0996094,0.943359,-4.3125,1.125,3.75,93,109,66,-5,-8,-3,-1,0,-11,-17,-3,-0.29248,-0.0830078,1.0459,-35.25,8.6875,0.4375,88,106,85
"47",-5,-10,-6,1,-1,-2,-3,0,-0.337891,0.149414,0.98291,-3.125,1.5625,3.1875,93,109,66,-3,-33,-4,-3,6,-6,-1,-2,-0.230957,-0.0932617,0.990234,-13.6875,7.0625,-6.6875,87,106,85
"48",0,0,-4,-4,-2,-3,1,0,-0.33252,0.154297,0.958496,-7.875,2.5,2.0625,93,109,67,-5,-1,-1,0,4,-3,-2,-1,-0.249023,-0.0927734,0.960449,-10.6875,3,-5.0625,87,106,85
"49",-3,2,1,-2,-1,-6,0,-1,-0.328125,0.130371,0.936523,5.0625,-0.5625,0.0625,93,109,67,7,17,-2,-3,-3,0,3,-7,-0.274902,-0.0800781,0.978516,-4.5625,-2.625,-5.0625,86,106,85
"50",-80,-40,0,-1,-3,2,-3,-9,-0.33252,0.112305,0.958008,2.75,-1.0625,0.4375,93,109,67,2,-14,-3,-2,3,0,-1,5,-0.266113,-0.112793,1.02637,2.4375,-2.3125,-3.25,86,106,85
