"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.447266","X.0.390625","X0.839355","X51.875","X12","X.57.6875","X91","X103","X67","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.22168","X.0.17041","X1.02588","X.4.0625","X5","X3.4375","X84","X101","X84.1"
"40",-2,8,-9,4,1,-2,0,-1,-0.147949,0.166016,1.06641,-36.875,38.5625,58,95,98,66,0,4,0,0,1,4,-2,-1,0.288086,-0.180664,1.02734,1.6875,89.125,-167.125,84,84,104
"41",-13,-4,2,-4,1,1,-2,-16,-0.104492,0.124023,1.03613,-45.75,32.9375,50.875,94,99,67,1,2,5,4,0,9,7,1,0.322266,-0.116699,1.12109,-25.25,118.375,-170.625,84,87,100
"42",2,-3,10,3,3,3,5,3,-0.199219,0.0620117,0.972656,-34.75,28.9375,32.3125,94,100,68,1,-3,-4,-5,0,-4,22,2,0.158691,-0.200684,1.08496,-36.6875,122.188,-154.188,84,91,97
"43",-3,-6,-8,-3,-3,-2,-1,3,-0.282227,0.0810547,0.888184,-59.25,14.4375,22.875,92,101,69,-1,-1,-2,-1,1,-2,-12,-3,-0.1875,0.0112305,1.0835,3.0625,83.5,-136.188,83,95,92
"44",12,-1,-1,-6,-6,-4,-13,3,-0.328125,0.0380859,0.884277,-53.8125,7.9375,19.0625,91,102,69,3,3,3,2,-4,5,4,1,-0.161133,-0.158691,1.12646,-1.25,60.875,-99.75,83,97,89
"45",4,3,1,-1,0,-1,4,1,-0.387207,0.0126953,0.957031,-42.75,-10.3125,13.6875,90,102,70,1,0,1,-6,-1,2,38,5,-0.206543,-0.0136719,1.06006,46.0625,27.375,-79.5,84,98,87
"46",-3,-1,0,-2,3,6,15,-18,-0.145996,0.0283203,1.06201,-35.75,-18.5,4.4375,89,101,70,-1,-1,3,-4,-13,-4,-11,-2,-0.264648,-0.0263672,0.976074,36.75,13.6875,-48.5,85,99,85
"47",0,2,1,-2,-3,-30,4,-2,-0.183594,-0.0957031,1.09961,10.5625,2.0625,-4.0625,88,100,70,-3,-1,-4,-4,-4,-3,47,5,-0.239258,-0.0620117,0.962402,39.5625,11.5,-38.8125,86,99,84
"48",-5,-3,0,-1,-2,1,-3,-33,-0.185547,-0.0161133,1.05908,37.125,-1.4375,-7,89,100,70,1,-1,0,5,3,0,8,0,-0.372559,-0.0668945,0.864746,35.1875,5.125,-14.125,87,101,83
"49",3,5,2,2,-1,-8,-8,3,-0.164062,0.00195312,1.04297,-1.8125,-9,-1.5,89,100,70,-2,-2,-4,-3,-4,-6,2,-1,-0.336426,-0.0214844,0.865723,46.25,-10.5,-2.5,88,101,83
"50",0,-4,1,1,-3,11,0,10,-0.162109,-0.0410156,1.02148,-11.3125,-9.375,1.1875,89,99,70,-6,2,1,0,2,7,-5,12,-0.275391,0.0141602,1.05176,12,1.875,3.3125,89,101,83
